Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
503,55,48,8785
504,56,47,8824
505,55,44,8858
506,53,42,8900
507,52,42,8932
508,50,41,8951
509,51,37,8968
510,55,38,8976
511,55,37,8987
512,55,35,9020
513,55,35,9034
514,55,33,9047
515,57,30,9070
516,63,28,9081
517,65,27,9108
518,63,26,9134
519,64,25,9146
520,67,25,9163
521,70,25,9185
522,66,26,9200
523,63,26,9209
524,62,26,9222
525,63,26,9232
526,71,25,9246
527,70,24,9259
528,68,25,9259
529,65,26,9271
530,63,26,9287
531,70,26,9295
532,74,25,9293
533,71,23,9290
534,69,23,9293
535,66,23,9301
536,70,25,9317
537,73,25,9311
538,71,26,9304
539,68,26,9307
540,68,26,9306
541,70,25,9308
542,75,23,9313
543,77,23,9309
544,75,23,9307
545,72,24,9293
546,70,21,9310
547,73,21,9315
548,71,21,9313
549,72,21,9315
550,71,21,9320
551,67,22,9320
552,67,22,9320
553,72,22,9343
554,74,22,9342
555,74,23,9342
556,70,23,9341
557,76,24,9342
558,81,24,9336
559,83,26,9315
560,88,26,9313
561,88,26,9310
562,91,26,9311
563,94,26,9304
564,98,27,9306
565,96,27,9287
566,97,27,9262
567,100,27,9246
568,105,27,9224
569,111,26,9226
570,113,27,9218
571,117,27,9190
572,118,28,9187
573,126,29,9175
574,131,30,9142
575,133,30,9130
576,132,32,9126
577,134,32,9082
578,140,32,9065
579,146,32,9053
580,146,32,9009
581,145,32,8984
582,147,32,8948
583,147,31,8913
584,154,32,8870
585,163,32,8830
586,163,33,8783
587,161,34,8726
588,165,34,8690
589,167,35,8657
590,167,37,8614
591,167,36,8562
592,163,37,8546
593,165,38,8531
594,168,40,8509
595,175,40,8477
596,173,40,8427
597,171,41,8412
598,167,43,8378
599,168,43,8355
600,170,45,8332
601,171,44,8306
602,169,46,8283
603,170,46,8249
604,171,47,8241
605,182,46,8203
606,183,45,8195
607,183,44,8186
608,182,45,8168
609,190,44,8163
610,193,43,8139
611,193,43,8122
612,196,44,8101
613,201,44,8050
614,196,45,8028
615,197,46,8004
616,199,48,7973
617,204,51,7945
618,212,51,7932
619,211,51,7889
620,211,52,7851
621,216,53,7821
622,222,53,7769
623,224,55,7735
624,219,55,7699
625,217,54,7665
626,218,55,7641
627,217,54,7598
628,220,55,7543
629,219,58,7524
630,218,58,7487
631,216,58,7459
632,220,58,7432
633,219,58,7419
634,214,58,7398
635,211,59,7398
636,208,59,7380
637,203,60,7352
638,205,61,7344
639,198,61,7320
640,194,61,7282
641,189,61,7282
642,181,61,7264
643,178,60,7260
644,176,61,7262
645,173,61,7247
646,170,61,7251
647,161,61,7255
648,169,63,7248
649,172,63,7241
650,171,63,7246
651,170,62,7255
652,166,62,7289
653,170,63,7310
654,173,62,7328
655,172,60,7331
656,172,58,7328
657,167,57,7335
658,166,57,7360
659,156,56,7405
660,152,56,7439
661,149,54,7443
662,147,53,7465
663,156,49,7466
664,157,49,7476
665,157,49,7477
666,151,48,7482
667,154,47,7455
668,160,47,7444
669,163,46,7435
670,165,46,7429
671,164,45,7426
672,168,46,7420
673,174,46,7392
674,174,46,7367
675,176,44,7344
676,180,43,7324
677,189,43,7288
678,193,43,7247
679,200,43,7191
680,207,43,7165
681,203,44,7137
682,207,43,7118
683,204,42,7077
684,205,40,7042
685,197,41,7034
686,197,41,7029
687,196,41,7027
688,194,39,7026
689,188,38,7023
690,181,38,7043
